 ,Mean1,IntDen1,RawIntDen1,Mean2,IntDen2,RawIntDen2
1,48.473,159.576,23073,52.491,102.013,14750
2,47.777,157.287,22742,48.523,94.302,13635
3,49.321,162.370,23477,47.986,93.257,13484
4,46.901,154.403,22325,50.922,98.963,14309
5,49.452,162.799,23539,51.623,100.326,14506
6,5.504,18.120,2620,5.915,11.495,1662
7,5.800,19.095,2761,6.972,13.549,1959
8,6.103,20.091,2905,7.292,14.171,2049
9,6.239,20.541,2970,7.851,15.257,2206
10,6.101,20.084,2904,8.096,15.734,2275
11,6.454,21.246,3072,8.772,17.048,2465
12,6.489,21.364,3089,10.231,19.884,2875
13,6.601,21.731,3142,9.879,19.199,2776
14,6.739,22.187,3208,10.488,20.382,2947
15,6.361,20.942,3028,9.694,18.840,2724
16,6.645,21.876,3163,10.797,20.984,3034
17,7.132,23.480,3395,10.093,19.614,2836
18,6.605,21.744,3144,11.530,22.408,3240
19,6.559,21.592,3122,11.274,21.910,3168
20,7.466,24.580,3554,12.189,23.688,3425
21,7.269,23.930,3460,11.829,22.989,3324
22,7.571,24.926,3604,11.851,23.031,3330
23,7.592,24.995,3614,12.601,24.490,3541
24,7.378,24.289,3512,11.950,23.224,3358
25,7.647,25.175,3640,12.420,24.137,3490
26,7.113,23.418,3386,12.822,24.919,3603
27,7.548,24.850,3593,13.302,25.853,3738
28,7.933,26.115,3776,13.523,26.281,3800
29,7.876,25.929,3749,14.100,27.402,3962
30,7.679,25.278,3655,14.577,28.329,4096
31,7.992,26.309,3804,14.498,28.176,4074
32,7.821,25.749,3723,14.036,27.277,3944
33,8.160,26.862,3884,15.936,30.970,4478
34,8.481,27.920,4037,15.751,30.611,4426
35,8.782,28.909,4180,16.555,32.174,4652
36,8.645,28.460,4115,15.648,30.410,4397
37,8.233,27.104,3919,14.904,28.965,4188
38,8.630,28.412,4108,16.381,31.835,4603
39,8.321,27.395,3961,15.616,30.348,4388
40,8.315,27.374,3958,15.879,30.860,4462
41,9.210,30.320,4384,16.612,32.285,4668
42,8.952,29.470,4261,15.779,30.666,4434
43,8.889,29.262,4231,15.651,30.417,4398
44,8.786,28.923,4182,15.911,30.922,4471
45,8.916,29.352,4244,18.630,36.206,5235
46,8.855,29.152,4215,16.847,32.741,4734
47,8.183,26.938,3895,18.932,36.794,5320
48,9.210,30.320,4384,15.228,29.594,4279
49,9.069,29.857,4317,16.416,31.904,4613
50,9.242,30.424,4399,17.886,34.761,5026
51,9.601,31.607,4570,16.936,32.914,4759
52,9.143,30.099,4352,17.676,34.352,4967
53,9.597,31.593,4568,17.278,33.578,4855
54,9.584,31.551,4562,17.274,33.571,4854
55,10.529,34.664,5012,18.502,35.957,5199
56,10.414,34.283,4957,17.996,34.975,5057
57,10.592,34.871,5042,18.762,36.462,5272
58,11.361,37.402,5408,18.851,36.635,5297
59,10.639,35.023,5064,17.819,34.629,5007
60,10.193,33.557,4852,18.399,35.756,5170
61,10.895,35.867,5186,18.922,36.773,5317
62,11.250,37.036,5355,18.559,36.068,5215
63,11.616,38.239,5529,20.480,39.802,5755
64,11.916,39.228,5672,19.996,38.862,5619
65,11.412,37.568,5432,21.413,41.614,6017
66,11.943,39.318,5685,21.676,42.126,6091
67,11.973,39.415,5699,20.302,39.457,5705
68,12.574,41.393,5985,20.431,39.706,5741
69,12.420,40.888,5912,19.883,38.640,5587
70,13.151,43.295,6260,21.100,41.006,5929
71,12.109,39.865,5764,20.719,40.266,5822
72,12.426,40.909,5915,21.669,42.112,6089
73,13.590,44.741,6469,21.726,42.223,6105
74,14.055,46.269,6690,20.573,39.982,5781
75,13.326,43.869,6343,22.043,42.839,6194
76,13.403,44.125,6380,23.544,45.757,6616
77,14.391,47.376,6850,23.932,46.511,6725
78,13.067,43.018,6220,22.217,43.177,6243
79,14.179,46.677,6749,23.384,45.446,6571
80,13.655,44.955,6500,21.327,41.448,5993
81,13.926,45.847,6629,21.676,42.126,6091
82,15.137,49.831,7205,24.438,47.493,6867
83,14.763,48.600,7027,21.456,41.697,6029
84,14.672,48.302,6984,24.843,48.282,6981
85,14.998,49.374,7139,23.730,46.117,6668
86,14.983,49.326,7132,23.039,44.775,6474
87,15.819,52.079,7530,22.996,44.692,6462
88,16.700,54.976,7949,23.555,45.778,6619
89,15.710,51.719,7478,22.039,42.832,6193
90,15.487,50.986,7372,23.826,46.304,6695
91,16.611,54.686,7907,22.605,43.931,6352
92,15.550,51.193,7402,24.598,47.804,6912
93,16.134,53.116,7680,23.815,46.283,6692
94,17.128,56.387,8153,23.712,46.082,6663
95,16.670,54.880,7935,21.665,42.105,6088
96,15.586,51.311,7419,23.633,45.930,6641
97,16.828,55.398,8010,25.797,50.135,7249
98,16.479,54.250,7844,23.174,45.038,6512
99,17.158,56.484,8167,25.922,50.377,7284
100,16.973,55.876,8079,25.288,49.146,7106
101,18.059,59.451,8596,23.623,45.909,6638
102,17.574,57.854,8365,24.224,47.078,6807
103,17.132,56.401,8155,23.160,45.010,6508
104,16.926,55.723,8057,24.441,47.500,6868
105,17.962,59.133,8550,23.598,45.861,6631
106,17.487,57.570,8324,23.957,46.559,6732
107,17.977,59.181,8557,24.573,47.756,6905
108,0.000,0.000,0,0.000,0.000,0
